q_id,questions,answer,source
1,國家太空中心影像處理中心的「校正流程」分為哪兩種？其目的為何？,,
2,為了解決人力流失，衛福部長石崇良提出的首波改革方向為何？,,
3,引發伊朗2025年底大規模抗爭的經濟與環境主因有哪些？,,
4,針對伊朗抗爭中出現的「復辟巴勒維王朝」口號，文本如何解讀其背後的民意？,,
5,何謂 OSINT（公開來源情報）？其運作方式為何？,,
6,透過高解析度衛星影像監測「油槽」，可以分析出什麼具體情報？,,
7,為何美國與海灣盟邦（如沙烏地阿拉伯、阿聯等）對於軍事介入伊朗持保留態度？,,
8,根據統計，二戰後全球執行了多少次核試驗？主要地點特徵為何？,,
9,台灣參與的「守望亞洲（Sentinel Asia）」計畫主要功能為何？並舉例其應用。,,
10,文本中提到的「健保兆元時代」面臨哪些挑戰？,,
11,伊朗政府在2026年1月的鎮壓行動中採取了哪些具體手段？,,
12,預計於2027年和2029年發射的「福衛九號」，其技術特色是什麼？,,
13,馬紹爾群島的「魯尼特圓頂（Runit Dome）」目前面臨什麼危機？,,
14,「福衛八號」與過去衛星相比，在自主研發上有何突破？,,
15,台灣醫院急重症人力的缺口從「四大皆空」演變至「六大皆空」，是指哪六個科別？,,
16,針對國安需求，為何台灣不能單純依賴向美國購買衛星影像，而需自製衛星？,,
17,根據文本，何謂醫療界的「直美（Chokubi）」現象？,,
18,放射性同位素「鍶-90」與「鈽-239」對人體的危害分別為何？,,
19,為何2026年被視為「新一輪核武威脅時代」的關鍵時間點？,,
20,「福衛八號」星系建置完成後，對台灣的國安監測能力有何具體提升？,,
