題目_ID,題目,Rewrite_Question
1,文中提到台中市2月2日當天的氣溫變化範圍為何？,台中市 2月2日 氣溫範圍
2,Google Cloud 推出的 N4A 虛擬機器採用哪一款處理器？,Google Cloud N4A 虛擬機器 處理器
3,根據林氏璧的指出，日本這波流感主要流行哪兩種病毒型別？其占比為何？,林氏璧 日本 流感 病毒型別 占比
4,LiteRT 的 GPU 加速效能平均比原本的 TensorFlow Lite GPU 委派快多少？,LiteRT GPU 加速 效能 TensorFlow Lite GPU 委派 比較
5,台灣南部與北部的降雨特徵有何主要差異？,台灣 南部 北部 降雨 特徵 差異
6,Google Cloud 的 N4A 虛擬機器在今年1月底擴增的區域中，包含哪一個亞洲地區？,Google Cloud N4A 虛擬機器 擴展區域 亞洲 1月
7,LiteRT 目前支援哪些平台的 GPU 加速？,LiteRT GPU 加速 平台支援
8,根據日本流感疫情報告，東京目前比較流行的區域有哪些？,日本 流感 疫情 東京 流行區域 報告
9,針對台中市2月2日的天氣，文中建議民眾該如何穿著？,台中市 2月2日 天氣 穿著建議
10,台灣冬季東北部迎風面多雨，形成「竹風蘭雨」的特色，主要是受到什麼風的影響？,台灣 東北部 冬季 迎風面 多雨 風向
